Al,Sc,V,Cr,Mn,Fe(II),Fe(III),Co,Cu,Zn,In,MA-Fe,MA-Co,c_2py,c_epox,c_uf1,c_uf3,c_uf4,avg_valence
0,0,0,0,0,0,50,0,0,50,0,0,100,0.41242219,0.0,0.0,0.040427235,0.0,2.5
0,0,0,0,0,0,50,0,50,0,0,0,100,0.21909915,0.193839058,0.0,0.091448703,0.0,2.5
0,0,0,0,0,0,50,50,0,0,0,0,100,0.291133581,0.0,0.0,0.144482962,0.0,2.5
0,0,0,0,0,0,100,0,0,0,0,0,100,0.349036251,0.0,0.0,0.10135422,0.0,3.0
0,0,0,0,0,50,0,0,0,0,50,0,100,0.391803519,0.0,0.0,0.051145961,0.0,2.5
0,0,0,0,0,50,0,0,0,50,0,0,100,0.465936255,0.0,0.0,0.036191975,0.0,2.0
0,0,0,0,0,50,0,0,50,0,0,0,100,0.202690013,0.074618689,0.0,0.154430733,0.0,2.0
0,0,0,0,0,50,0,50,0,0,0,0,100,0.255782459,0.0,0.0,0.18419068,0.0,2.0
0,0,0,0,0,50,50,0,0,0,0,0,100,0.366230782,0.0,0.0,0.068582679,0.0,2.5
0,0,0,0,0,100,0,0,0,0,0,0,100,0.381274562,0.0,0.0,0.060774399,0.0,2.0
0,0,0,0,50,0,0,0,0,0,50,0,100,0.360321722,0.0,0.0,0.084488995,0.0,2.5
0,0,0,0,50,0,0,0,0,50,0,0,100,0.410054314,0.0,0.0,0.05737634,0.0,2.0
0,0,0,0,50,0,0,0,50,0,0,0,100,0.206396539,0.372385847,0.0,0.031197989,0.0,2.0
0,0,0,0,50,0,0,50,0,0,0,0,100,0.285058362,0.0,0.0,0.166280464,0.0,2.0
0,0,0,0,50,0,50,0,0,0,0,0,100,0.346495905,0.0,0.0,0.089412235,0.0,2.5
0,0,0,0,50,50,0,0,0,0,0,0,100,0.339624058,0.0,0.0,0.103292407,0.0,2.0
0,0,0,50,0,0,0,0,0,0,50,0,100,0.410197849,0.0,0.0,0.053984729,0.0,3.0
0,0,0,50,0,0,0,0,0,50,0,0,100,0.402450138,0.0,0.0,0.043918917,0.0,2.5
0,0,0,50,0,0,0,50,0,0,0,0,100,0.290599434,0.0,0.0,0.13341145,0.0,2.5
0,0,0,50,0,50,0,0,0,0,0,0,100,0.348458692,0.0,0.0,0.057560189,0.0,2.5
0,0,0,50,50,0,0,0,0,0,0,0,100,0.374848078,0.0,0.0,0.054143986,0.0,2.5
0,0,0,100,0,0,0,0,0,0,0,0,100,0.347643802,0.0,0.0,0.072211273,0.0,3.0
0,0,50,0,0,0,0,0,0,50,0,0,100,0.366456709,0.0,0.0,0.056347761,0.0,2.5
0,0,50,0,0,0,0,50,0,0,0,0,100,0.289226868,0.0,0.0,0.134670386,0.0,2.5
0,0,50,0,0,50,0,0,0,0,0,0,100,0.360288306,0.0,0.0,0.061532746,0.0,2.5
0,0,50,0,50,0,0,0,0,0,0,0,100,0.377788606,0.0,0.0,0.05758593,0.0,2.5
0,0,50,50,0,0,0,0,0,0,0,0,100,0.34286341,0.0,0.0,0.088973447,0.0,3.0
0,0,100,0,0,0,0,0,0,0,0,0,100,0.335320404,0.0,0.0,0.071248513,0.0,3.0
0,50,0,0,0,0,0,0,0,0,50,0,100,0.401101759,0.0,0.0,0.029992781,0.0,3.0
0,50,0,0,0,0,0,0,0,50,0,0,100,0.391444565,0.0,0.0,0.026849486,0.0,2.5
0,50,0,0,0,0,0,0,50,0,0,0,100,0.219805467,0.166490016,0.0,0.105003004,0.0,2.5
0,50,0,0,0,0,0,50,0,0,0,0,100,0.3857446,0.0,0.0,0.063378858,0.0,2.5
0,50,0,0,0,0,50,0,0,0,0,0,100,0.357110714,0.0,0.0,0.055633926,0.0,3.0
0,50,0,0,0,50,0,0,0,0,0,0,100,0.378950169,0.0,0.0,0.053143883,0.0,2.5
0,50,0,0,50,0,0,0,0,0,0,0,100,0.21415002,0.037817494,0.0,0.162817536,0.0,2.5
0,50,0,50,0,0,0,0,0,0,0,0,100,0.368676959,0.0,0.0,0.064876987,0.0,3.0
0,100,0,0,0,0,0,0,0,0,0,0,100,0.422328961,0.0,0.0,0.036634895,0.0,3.0
50,0,0,0,0,0,0,0,0,0,50,0,100,0.415437314,0.0,0.0,0.034655498,0.0,3.0
50,0,0,0,0,0,0,0,0,50,0,0,100,0.424254556,0.0,0.0,0.038327782,0.0,2.5
50,0,0,0,0,0,0,50,0,0,0,0,100,0.324541299,0.0,0.0,0.129260969,0.0,2.5
50,0,0,0,0,0,50,0,0,0,0,0,100,0.393058333,0.0,0.0,0.043632773,0.0,3.0
50,0,0,0,0,50,0,0,0,0,0,0,100,0.370182443,0.0,0.0,0.048867294,0.0,2.5
50,0,0,50,0,0,0,0,0,0,0,0,100,0.379010069,0.0,0.0,0.053757534,0.0,3.0
50,50,0,0,0,0,0,0,0,0,0,0,100,0.42200799,0.0,0.0,0.036114604,0.0,3.0
100,0,0,0,0,0,0,0,0,0,0,0,100,0.430333469,0.0,0.0,0.049370163,0.0,3.0
