Unnamed: 0,S1,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
283,0.24848041833555853,-0.00040476190476191015,0.07098979591836733,0.04274099099099099,0.023165610700457584,0.00031497175141242506,-0.00797033158813264,0.05823231918868428,0.010146572104018911,0.005851158645276288,0.06627884615384615
284,0.24712411610542453,-0.00042328042328042856,0.06116855631141345,0.03581031031031031,0.01986726113653251,-0.0003793942247332121,-0.008988850106651158,0.04953966135871661,0.00740937746256895,0.005161517132105362,0.057242699430199426
285,0.2445455916530683,-0.00039616402116402535,0.0534244142101285,0.031157407407407404,0.018166647111736864,-0.00012013496547395267,-0.008820341283692072,0.042290380452510164,0.0048601260835303365,0.004806694394929685,0.04898593304843305
286,0.23653001532908075,0.0002705026455026412,0.046186318972033256,0.026256506506506502,0.016693398255700258,4.65317011927144e-05,-0.007062924180725232,0.036116241141061,0.002487785657998422,0.005302238066943945,0.04180804843304843
287,0.21891739603421845,-0.0007060185185185234,0.039192365835222974,0.02178553553553553,0.015100805663107664,-0.0003702134337727603,-0.007655516773317826,0.02851937846573555,-0.0002844759653270329,0.005266686472568821,0.03420423789173789
288,0.19506181080947438,-0.0023726851851851895,0.03232501889644746,0.017740490490490486,0.012934138996440997,-0.0015368801004394268,-0.008822183439984492,0.02234950923701924,-0.00281048069345942,0.004100019805902155,0.028697827635327633
289,0.17114621965089258,-0.0028776455026455075,0.028432728647014356,0.015817817817817815,0.01222529234620047,-0.0013982266164469597,-0.009120321892573205,0.018457417786080715,-0.004648542159180461,0.00343929490988314,0.02546438746438746
290,0.15080692775552587,-0.002859126984126989,0.02575056689342403,0.013802552552552548,0.011603895342015717,-0.0007314030131826787,-0.008692553810354862,0.015472733742549594,-0.005399527186761233,0.003786690433749253,0.022806623931623925
291,0.1371061662463532,-0.001493716931216935,0.023330687830687827,0.012405655655655653,0.011585376823497199,-7.407407407407796e-05,-0.007801822765173554,0.012784879755656377,-0.006597714736012611,0.004654089918795797,0.019453169515669517
292,0.13048392918953666,-0.0003875661375661412,0.020352229780801208,0.010594094094094092,0.011127556807071056,0.00047230069052102544,-0.007670350979251507,0.010670032322154016,-0.007324665090622541,0.0039903941374529565,0.016670584045584046
